"","TEAM","PTS","AGE","MIN","FGA","X3PM","REB","AST","KG","CM"
"369","ORL",8.8,29,25.8,8.7,0.5,4.5,4.2,86,196
"370","DEN",19,23,31.3,13.4,2.8,7.3,1.1,99,208
"371","PHX",13.5,24,32.6,9.3,1.9,4.3,2.1,95,198
"372","UTA",16.2,33,29.4,12.5,2.7,3.5,6,79,185
"373","BKN",7.7,30,18.2,7.1,0.8,2.5,4.2,79,185
"374","OKC",9.7,29,18.4,7.6,1.9,3.8,0.8,109,208
"375","PHI",4.2,32,16.7,4.1,1,2.4,0.8,108,201
"376","CHA",12.7,23,29.3,9.4,1.8,6,2.2,102,198
"377","NYK",8.3,23,27.5,5.7,0,8.1,0.5,109,213
"378","UTA",1.9,23,9.6,1.8,0.6,1.6,0.5,93,196
"379","ORL",8,23,15.8,6.5,0.8,5.8,0.8,105,213
"380","DEN",10.2,26,25.5,8.2,1.1,2,3.2,83,188
"381","LAL",13.5,27,22.9,8.7,0,6.2,1.1,109,201
"382","ORL",6.9,24,16,5.1,0.7,3.2,1.1,111,211
"383","BOS",8.6,21,21.4,6.2,0,8.9,0.2,111,218
"384","GSW",5.6,27,12.8,4.4,1.4,1,0.4,83,191
"385","IND",12.6,25,31,9.2,1.5,6.5,1,113,211
"386","NOP",7.7,23,21.9,6.5,0.9,4.6,2.8,100,201
"387","POR",4.6,21,13.3,3.5,0.6,2.7,0.5,100,196
"388","CHA",1.3,22,3.7,1,0.3,0.1,0.1,91,198
"389","DAL",2,22,4.4,2,0.2,0.4,0.4,95,196
"390","ATL",3.8,23,8.4,3,0.2,2.2,0.2,115,208
"391","MIN",11.2,21,19.2,8.3,0.9,4.6,1,120,206
"392","MIA",6.5,33,16.1,5.3,0.7,3.4,1.9,106,208
"393","NYK",5.1,27,24.2,3.5,0,6.4,0.7,100,211
"394","BKN",6.6,22,18.6,4.5,0,5.2,0.9,98,211
"395","CHA",0.8,23,3.5,0.5,0,0.6,0.1,111,213
"396","NOP",11,22,21.9,10,1.7,3.1,2.2,93,198
"397","GSW",4.1,20,12.1,3.8,0.7,1.5,2.3,86,188
"398","LAC",8.1,32,27.4,6.1,1.6,4.7,2.2,104,203
"399","DAL",3,30,12.6,3.1,0.5,2.7,1,107,206
"400","DEN",26.4,26,34.6,18,1.3,10.8,8.3,129,211
"401","CHI",23.4,30,33.5,19.9,2.5,11.7,3.8,118,211
"402","BKN",0,25,2.7,0.8,0,0.3,0.3,117,208
"403","POR",18.6,28,32,13.3,2.5,3.1,1.9,98,191
"404","NYK",1.5,28,6.4,1.2,0,1.5,0.2,105,208
"405","TOR",15.9,23,33.3,12.1,2.4,5.5,2.2,100,206
"406","NYK",4.1,23,11,3.4,0.4,2.2,0.5,105,201
"407","ATL",4.6,20,12,3,0,3.3,0.4,107,203
"408","IND",10.9,23,24.7,7.2,1.6,5.5,0.9,95,201
"409","ORL",9.7,28,21.7,8.1,1.4,5.4,2,90,203
"410","DEN",7.7,24,21.8,7.1,0.9,3.6,1.8,93,198
"411","MIL",3.7,36,26.1,3.4,0.8,3.9,1.2,111,196
"412","CHA",12.9,22,30.5,10.7,1.8,6.5,2.5,104,201
"413","TOR",21.4,27,35.8,17.2,1.3,7.2,4.5,104,206
"414","MIL",6.8,28,22.8,5.6,1.5,4.8,1.2,95,196
"415","LAC",7.5,32,22.5,5.9,1.5,3.2,2.1,82,185
"416","TOR",1,25,6.7,0.2,0,0.6,0.8,82,201
"417","LAC",5.2,32,15.3,4.3,1.1,2,0.8,107,203
"418","CHI",9.2,19,27.9,7.4,0.8,4.6,1.4,98,201
"419","SAS",10.8,32,24.8,9,2.4,1.7,2.4,82,185
"420","LAC",23.3,31,33.7,17.6,3.2,6.6,5.2,100,203
"421","DEN",9,36,20.8,7.2,0.9,4.7,1.8,117,201
"422","PHI",3.4,22,6.8,3,0,2.3,0.5,95,206
"423","TOR",4.1,26,11,3,1.1,1.7,0.6,95,198
"424","BOS",7.7,23,19.2,6.3,1.5,2.4,1.8,88,185
"425","MIA",5,21,12.1,3.7,0,3.4,0.5,102,203
"426","CLE",3.3,28,6.8,3,0.5,0.7,0.8,82,185
"427","SAS",2.3,24,6.1,1.8,0.1,0.6,0.4,93,191
"428","ORL",6.9,20,17.4,6.1,0.5,3.5,1.7,79,193
"429","NYK",17.6,21,34.9,14.7,1.7,5.8,3,82,185
"430","LAC",5.4,35,17.1,4.8,0.8,2.4,4.4,82,185
"431","WAS",8.7,29,21.9,7,1,2.4,2.3,102,206
"432","HOU",2,24,9.4,2,0,2,0,95,191
"433","PHI",2.4,23,4.9,1.3,0.1,0.8,0.4,93,198
"434","NYK",10.9,30,30,8.6,2.5,3.4,1.5,94,188
"435","LAC",10.7,31,23,8.7,1.8,2.9,3.1,113,203
"436","BKN",3,21,8.1,3,0.2,2.8,0.5,107,208
"437","SAC",14.2,27,29.2,9.4,0,8.3,1.7,86,191
"438","MIN",8.6,30,26.1,7.3,1,3.3,6.4,97,198
"439","POR",8.5,30,32,7.3,1.9,6.7,1.7,95,201
"440","ORL",6.1,24,14.4,4,0.7,2,0.7,102,201
"441","BOS",8,23,18.9,5,0,6.9,1.8,108,203
"442","SAC",1.5,21,3.5,1.5,0.1,1.2,0.2,107,198
"443","WAS",9,33,19.1,6,0.1,3.8,0.8,127,213
"444","MIL",1.5,23,5.9,1.5,0.3,1.1,0.5,103,206
"445","TOR",4.5,28,17.1,4.7,0.6,1.9,1,94,203
"446","DET",5.7,29,12.1,4.4,0.7,1.4,1,93,193
"447","BOS",3.1,21,15.7,3.3,0.3,1.9,0.7,98,193
"448","POR",2.5,26,9.8,1.6,0,2.4,1.2,98,198
"449","UTA",7,28,31.6,5.5,1.5,6.8,2.5,103,193
"450","SAS",11.4,34,21.6,10,1.7,4.8,1.4,113,203
"451","UTA",14.3,29,30.8,8.2,0,13.5,1.3,117,216
"452","WAS",13.8,23,31.5,11.4,0.8,5.5,1.4,104,203
"453","WAS",22.2,32,36.4,19,1.3,11.5,11.7,91,191
"454","CHI",3.1,27,10.2,2.7,0.6,1.5,1.3,88,191
"455","DET",5.6,22,16.3,4.4,0.2,2,3.6,83,188
"456","DET",12.2,22,27.3,9.9,2.5,4.5,1.4,98,201
"457","MIL",3,25,7.8,2.4,0.7,1,0.7,93,193
"458","MEM",2.2,24,8.8,1.8,0.3,1.1,0.2,88,198
"459","DET",5.1,20,15.5,5,0.5,2.6,0.8,104,203
"460","BOS",4.6,26,17,3.9,1,2.6,0.7,109,198
"461","LAC",11.1,31,23.3,8.9,1,6.7,1.8,107,208
"462","PHI",12.5,30,28.7,9.7,2.2,2.4,2.7,84,188
"463","OKC",23.7,22,33.7,16.1,2,4.7,5.9,82,198
"464","PHI",13,24,23.2,10.6,1.1,2.3,3.1,93,196
"465","DEN",2.1,27,9.8,2.3,0.1,1.4,0.7,86,201
"466","ORL",2,26,10.3,2.2,0.3,0.9,1,98,193
"467","ATL",3.8,23,8.2,3,0.4,1.1,0.9,93,193
"468","ATL",4.5,30,21.3,4.2,1,3,1.1,103,198
"469","BKN",6.7,28,21.4,5.3,0.7,4.3,3,98,196
"470","TOR",4.4,25,16.5,3.8,0.7,2.5,1.5,110,198
"471","GSW",32,33,34.2,21.7,5.3,5.5,5.8,84,191
"472","HOU",8.2,26,24.1,6.6,1.8,4.4,1.4,99,196
"473","NOP",7.6,27,27.7,5.3,0,8.9,1.9,120,211
