"","PTS","AGE","MIN","FGA","X3PM","REB","AST","WEIGHT","HEIGHT"
"250",2.3,23,9.7,2.3,0.4,0.8,1,88,185
"251",6.8,25,19.5,8.1,0.4,4.5,1.9,101,198
"252",11.5,26,23.8,9,0.3,9,3.4,132,211
"253",1.2,24,5.1,1,0.1,1,0.3,105,201
"254",1.1,21,8.8,1.3,0.1,1.4,0.4,86,191
"255",24.8,25,33.8,17.5,2.4,10.6,4.5,112,211
"256",24.8,30,34.1,17.5,1.9,6.5,5.2,102,201
"257",2.6,25,8.2,2.2,0.2,1.6,0.4,104,203
"258",4.5,25,9.2,3.9,0.7,2.2,0.5,104,196
"259",12.8,21,28.5,10.2,0.9,6,1.8,100,196
"260",0.7,25,4.4,1.2,0.1,0.6,0.2,91,193
"261",13.5,30,28.5,10,1.8,7,2.9,109,211
"262",15.4,25,30.7,13.2,1.6,6,1.3,92,201
"263",19.3,31,31.8,15.7,3,4,4.9,83,183
"264",14.6,25,29.5,11.8,2.2,3.2,2.6,86,188
"265",8,26,21.6,6.2,0.8,4.1,2.3,95,198
"266",7.2,31,19.9,5.9,1.1,3.4,1.6,88,193
"267",9.7,28,28.4,7.6,1.8,2.7,1.9,93,196
"268",9.3,20,23.7,7.1,0.8,5.4,1.1,98,198
"269",26.9,32,33.1,17.2,2.4,7.1,5.6,109,208
"270",11.9,22,30.8,10.6,2,3.3,3.5,86,201
"271",3.9,21,11.1,3.4,0.8,1.5,0.5,98,201
"272",12.2,32,24.9,10.1,2.3,7.4,2.5,114,203
"273",16.6,21,32.1,14.1,1.9,3.8,6.3,92,193
"274",4.1,25,19,3.2,0.1,5.3,2,101,206
"275",7.2,28,22.8,5.7,0.2,5.8,1.3,106,206
"276",20.4,29,33.4,15.8,2.2,6,5.4,101,201
"277",16.4,25,30.6,13.2,1.8,3.6,5,95,191
"278",6.8,19,25.8,7.7,0.8,2.7,5.3,88,196
"279",3.2,23,10.1,3.2,0.6,1.3,0.4,100,206
"280",6.4,20,16.7,6.2,0.7,1.3,2.3,77,185
"281",20.1,25,30.9,15.9,2.3,8.9,1.6,109,221
"282",12.4,27,27.4,9.5,1.4,5.7,3.6,104,206
"283",2.8,23,7.6,2.8,0.4,1.1,1,76,185
"284",12.9,25,28.7,11.1,2,6.1,1.9,100,208
"285",17.2,35,34.8,13,2.8,5.4,7.3,89,183
"286",26.9,29,34.9,20.1,2.8,4.8,6,88,188
"287",2.5,22,12.1,2.6,0.3,1.8,0.5,98,203
"288",4.1,23,12.5,3.4,0.1,2.4,0.6,104,198
"289",13.5,35,25.9,11.4,1.2,4.5,1.9,113,211
"290",15.7,19,28.8,13.2,1.8,5.9,6.1,82,198
"291",9.3,24,23,7.5,2.1,1.8,1.6,86,193
"292",4.8,29,10.9,3.7,0.9,1.1,0.7,91,185
"293",9.3,28,31.2,7.8,1.2,6.7,3.1,111,201
"294",13.6,24,25.8,10.2,2.3,5.3,0.9,109,213
"295",25,36,33.4,18.3,2.3,7.7,7.8,113,206
"296",11.2,22,25.4,10.2,1.7,2.6,1.7,93,193
"297",14.6,23,31.8,12.7,3.1,4.8,5.7,86,198
"298",11.3,34,21.6,9.8,1,2.1,3.4,79,185
"299",7.3,22,14.2,5.7,0.7,3,1.5,93,201
"300",14,22,29.7,12.3,2.2,3.6,1.7,98,191
"301",27.7,22,34.3,20.5,2.9,8,8.6,104,201
"302",3.7,21,9.3,3.2,0.4,2.1,0.5,103,208
"303",8.3,25,19.6,6.6,1.6,2.6,1.7,93,196
"304",3.4,25,11.2,3.3,0.5,2.2,0.8,113,218
"305",7.5,23,19.7,7.2,1.1,2.5,2.9,79,185
"306",21.2,28,34.5,17.5,2.6,5.3,5.9,104,196
"307",19.6,24,32.8,16.2,3.5,4.4,2.4,85,193
"308",11.7,23,20.9,9.5,2,2.4,2.1,91,191
"309",3.1,24,10.1,2.9,0.1,2.4,0.6,103,206
"310",5,36,19.1,3.7,1,4.1,2.1,116,211
"311",13.4,31,26.3,10.2,2.5,4.1,1,99,203
"312",13.1,27,32.9,10.6,1.9,3.5,5.7,100,191
"313",12.9,23,26.9,13,0.5,3.1,5.4,95,191
"314",6.7,31,19.7,6.2,1.1,4.4,1.2,111,206
"315",2.8,22,5.5,2.9,0.5,0.6,0.5,79,178
"316",6.5,23,13.4,7,0.5,6.5,1,109,206
"317",14.1,22,25.9,11.4,0.9,7.4,1,107,211
